scanning 11719921 files with 12 workers
  10000/11719921  11204 files/s
  20000/11719921  15222 files/s
  30000/11719921  19133 files/s
  40000/11719921  22332 files/s
  50000/11719921  24173 files/s
  60000/11719921  24841 files/s
  70000/11719921  26251 files/s
  80000/11719921  26962 files/s
  90000/11719921  27596 files/s
  100000/11719921  27125 files/s
  110000/11719921  27975 files/s
  120000/11719921  28718 files/s
  130000/11719921  28609 files/s
  140000/11719921  29240 files/s
  150000/11719921  29732 files/s
  160000/11719921  29639 files/s
  170000/11719921  30143 files/s
  180000/11719921  30642 files/s
  190000/11719921  30935 files/s
  200000/11719921  30915 files/s
  210000/11719921  30356 files/s
  220000/11719921  30008 files/s
  230000/11719921  30044 files/s
  240000/11719921  30040 files/s
  250000/11719921  30098 files/s
  260000/11719921  29727 files/s
  270000/11719921  29857 files/s
  280000/11719921  30186 files/s
  290000/11719921  30455 files/s
  300000/11719921  30753 files/s
  310000/11719921  30671 files/s
  320000/11719921  30921 files/s
  330000/11719921  31150 files/s
  340000/11719921  31379 files/s
  350000/11719921  31489 files/s
  360000/11719921  31485 files/s
  370000/11719921  30933 files/s
  380000/11719921  30820 files/s
  390000/11719921  30724 files/s
  400000/11719921  30624 files/s
  410000/11719921  30174 files/s
  420000/11719921  30229 files/s
  430000/11719921  30299 files/s
  440000/11719921  30381 files/s
  450000/11719921  30435 files/s
  460000/11719921  30311 files/s
  470000/11719921  30466 files/s
  480000/11719921  30630 files/s
  490000/11719921  30777 files/s
  500000/11719921  30929 files/s
  510000/11719921  30755 files/s
  520000/11719921  30758 files/s
  530000/11719921  30646 files/s
  540000/11719921  30695 files/s
  550000/11719921  30545 files/s
  560000/11719921  30583 files/s
  570000/11719921  30577 files/s
  580000/11719921  30442 files/s
  590000/11719921  30221 files/s
  600000/11719921  30181 files/s
  610000/11719921  30190 files/s
  620000/11719921  30199 files/s
  630000/11719921  30247 files/s
  640000/11719921  30110 files/s
  650000/11719921  30153 files/s
  660000/11719921  30169 files/s
  670000/11719921  29678 files/s
  680000/11719921  29594 files/s
  690000/11719921  29681 files/s
  700000/11719921  29759 files/s
  710000/11719921  29784 files/s
  720000/11719921  29723 files/s
  730000/11719921  29824 files/s
  740000/11719921  29915 files/s
  750000/11719921  30005 files/s
  760000/11719921  30078 files/s
  770000/11719921  30068 files/s
  780000/11719921  29940 files/s
  790000/11719921  29953 files/s
  800000/11719921  29944 files/s
  810000/11719921  29853 files/s
  820000/11719921  29722 files/s
  830000/11719921  29719 files/s
  840000/11719921  29768 files/s
  850000/11719921  29848 files/s
  860000/11719921  29918 files/s
  870000/11719921  29858 files/s
  880000/11719921  29855 files/s
  890000/11719921  29929 files/s
  900000/11719921  29997 files/s
  910000/11719921  29922 files/s
  920000/11719921  29993 files/s
  930000/11719921  29975 files/s
  940000/11719921  29978 files/s
  950000/11719921  29998 files/s
  960000/11719921  29882 files/s
  970000/11719921  29921 files/s
  980000/11719921  29931 files/s
  990000/11719921  29901 files/s
  1000000/11719921  29921 files/s
  1010000/11719921  29783 files/s
  1020000/11719921  29775 files/s
  1030000/11719921  29769 files/s
  1040000/11719921  29774 files/s
  1050000/11719921  29622 files/s
  1060000/11719921  29642 files/s
  1070000/11719921  29664 files/s
  1080000/11719921  29677 files/s
  1090000/11719921  29692 files/s
  1100000/11719921  29569 files/s
  1110000/11719921  29610 files/s
  1120000/11719921  29620 files/s
  1130000/11719921  29622 files/s
  1140000/11719921  29610 files/s
  1150000/11719921  29564 files/s
  1160000/11719921  29633 files/s
  1170000/11719921  29691 files/s
  1180000/11719921  29754 files/s
  1190000/11719921  29705 files/s
  1200000/11719921  29769 files/s
  1210000/11719921  29831 files/s
  1220000/11719921  29871 files/s
  1230000/11719921  29887 files/s
  1240000/11719921  29798 files/s
  1250000/11719921  29693 files/s
  1260000/11719921  29718 files/s
  1270000/11719921  29739 files/s
  1280000/11719921  29690 files/s
  1290000/11719921  29721 files/s
  1300000/11719921  29762 files/s
  1310000/11719921  29795 files/s
  1320000/11719921  29699 files/s
  1330000/11719921  29740 files/s
  1340000/11719921  29785 files/s
  1350000/11719921  29825 files/s
  1360000/11719921  29845 files/s
  1370000/11719921  29768 files/s
  1380000/11719921  29766 files/s
  1390000/11719921  29777 files/s
  1400000/11719921  29664 files/s
  1410000/11719921  29733 files/s
  1420000/11719921  29796 files/s
  1430000/11719921  29817 files/s
  1440000/11719921  29781 files/s
  1450000/11719921  29842 files/s
  1460000/11719921  29898 files/s
  1470000/11719921  29951 files/s
  1480000/11719921  29952 files/s
  1490000/11719921  29955 files/s
  1500000/11719921  29858 files/s
  1510000/11719921  29872 files/s
  1520000/11719921  29879 files/s
  1530000/11719921  29871 files/s
  1540000/11719921  29847 files/s
  1550000/11719921  29906 files/s
  1560000/11719921  29902 files/s
  1570000/11719921  29958 files/s
  1580000/11719921  30016 files/s
  1590000/11719921  30074 files/s
  1600000/11719921  30053 files/s
  1610000/11719921  29875 files/s
  1620000/11719921  29874 files/s
  1630000/11719921  29874 files/s
  1640000/11719921  29899 files/s
  1650000/11719921  29915 files/s
  1660000/11719921  29850 files/s
  1670000/11719921  29893 files/s
  1680000/11719921  29931 files/s
  1690000/11719921  29895 files/s
  1700000/11719921  29944 files/s
  1710000/11719921  29907 files/s
  1720000/11719921  29926 files/s
  1730000/11719921  29938 files/s
  1740000/11719921  29848 files/s
  1750000/11719921  29900 files/s
  1760000/11719921  29945 files/s
  1770000/11719921  29990 files/s
  1780000/11719921  30034 files/s
  1790000/11719921  30080 files/s
  1800000/11719921  30020 files/s
  1810000/11719921  30020 files/s
  1820000/11719921  30011 files/s
  1830000/11719921  30038 files/s
  1840000/11719921  29977 files/s
  1850000/11719921  30001 files/s
  1860000/11719921  29958 files/s
  1870000/11719921  29959 files/s
  1880000/11719921  29891 files/s
  1890000/11719921  29910 files/s
  1900000/11719921  29927 files/s
  1910000/11719921  29946 files/s
  1920000/11719921  29875 files/s
  1930000/11719921  29890 files/s
  1940000/11719921  29916 files/s
  1950000/11719921  29959 files/s
  1960000/11719921  29927 files/s
  1970000/11719921  29969 files/s
  1980000/11719921  30014 files/s
  1990000/11719921  30058 files/s
  2000000/11719921  30099 files/s
  2010000/11719921  30072 files/s
  2020000/11719921  30045 files/s
  2030000/11719921  30068 files/s
  2040000/11719921  30103 files/s
  2050000/11719921  30067 files/s
  2060000/11719921  30102 files/s
  2070000/11719921  30129 files/s
  2080000/11719921  30128 files/s
  2090000/11719921  30145 files/s
  2100000/11719921  30098 files/s
  2110000/11719921  30096 files/s
  2120000/11719921  30097 files/s
  2130000/11719921  30108 files/s
